teryt,municipality,%_vaccinated
3203023,gm.m-w. Drawsko Pomorskie,50.8819
3010022,gm.w Grodziec,50.8673
2403021,Ustroń,50.8537
1864011,Tarnobrzeg,50.8283
0262011,Legnica,50.8188
0464011,Włocławek,50.8019
0418022,gm.w Baruchowo,50.7778
2409011,Myszków,50.7629
0403072,gm.w Sicienko,50.7613
1213052,gm.w Osiek,50.7436
0809013,gm.m-w. Babimost,50.7366
0407082,gm.w Rojewo,50.7305
2814072,gm.w Jonkowo,50.7272
3207063,gm.m-w. Wolin,50.716
0226052,gm.w Zagrodno,50.6723
1002052,gm.w Krzyżanów,50.6663
2804082,gm.w Rychliki,50.6574
2417082,gm.w Łodygowice,50.6456
1004022,gm.w Daszyna,50.6402
1008062,gm.w Lutomiersk,50.6181
0418032,gm.w Boniewo,50.5977
1208062,gm.w Racławice,50.5835
0408032,gm.w Chrostkowo,50.5787
1215072,gm.w Stryszawa,50.5786
3002052,gm.w Lubasz,50.5595
3031011,Złotów,50.5559
3204043,gm.m-w. Nowogard,50.5405
3002073,gm.m-w. Trzcianka,50.5325
3013043,gm.m-w. Rydzyna,50.5287
2208011,Lębork,50.48
3028033,gm.m-w. Gołańcz,50.4704
3012033,gm.m-w. Koźmin Wielkopolski,50.4642
3011053,gm.m-w. Śmigiel,50.4374
1218093,gm.m-w. Wadowice,50.435
0601021,Terespol,50.4306
3025032,gm.w Nowe Miasto nad Wartą,50.423
3205083,gm.m-w. Trzebiatów,50.4033
2414052,gm.w Chełm Śląski,50.3983
0406062,gm.w Świecie nad Osą,50.3975
3023083,gm.m-w. Zagórów,50.3942
0401052,gm.w Bądkowo,50.3941
0207022,gm.w Kamienna Góra,50.3612
2804073,gm.m-w. Pasłęk,50.3359
1437042,gm.w Lutocin,50.3217
0416063,gm.m-w. Tuchola,50.2804
2613063,gm.m-w. Włoszczowa,50.2718
2403122,gm.w Zebrzydowice,50.2496
3211033,gm.m-w. Nowe Warpno,50.2463
0218032,gm.w Miękinia,50.2413
1419132,gm.w Stara Biała,50.2371
2819012,gm.w Budry,50.2174
1011043,gm.m-w. Uniejów,50.2156
2417062,gm.w Lipowa,50.2024
1406032,gm.w Chynów,50.1979
1406113,gm.m-w. Warka,50.1956
2403052,gm.w Chybie,50.1831
2608032,gm.w Michałów,50.1771
0402062,gm.w Bartniczka,50.1699
1611053,gm.m-w. Strzelce Opolskie,50.1668
0419022,gm.w Gąsawa,50.163
2815022,gm.w Dąbrówno,50.1535
3206072,gm.w Stare Czarnowo,50.1449
0201011,Bolesławiec,50.1403
1212032,gm.w Bolesław,50.1229
3208033,gm.m-w. Gościno,50.1071
1212062,gm.w Trzyciąż,50.0781
2612073,gm.m-w. Staszów,50.0746
3001053,gm.m-w. Szamocin,50.0599
2608022,gm.w Kije,50.0463
2404152,gm.w Rędziny,50.0406
0209042,gm.w Kunice,50.0209
3218023,gm.m-w. Łobez,50.0181
3028062,gm.w Wapno,50.0171
0809082,gm.w Trzebiechów,50.015
3006043,gm.m-w. Żerków,50.0049
3020033,gm.m-w. Dobrzyca,49.9938
0218043,gm.m-w. Środa Śląska,49.9925
1006113,gm.m-w. Tuszyn,49.988
0223062,gm.w Mietków,49.9866
1424043,gm.m-w. Pułtusk,49.9817
3215043,gm.m-w. Borne Sulinowo,49.9797
1002102,gm.w Strzelce,49.9743
0415052,gm.w Łubianka,49.9731
2414042,gm.w Bojszowy,49.9689
2613032,gm.w Moskorzew,49.9618
3010142,gm.w Wilczyn,49.9353
0418092,gm.w Kowal,49.9102
3209022,gm.w Biesiekierz,49.9097
0609082,gm.w Konopnica,49.9054
1004063,gm.m-w. Piątek,49.8982
0604011,Hrubieszów,49.8955
1424022,gm.w Obryte,49.8745
1002113,gm.m-w. Żychlin,49.871
0210072,gm.w Siekierczyn,49.845
2803043,gm.m-w. Lidzbark,49.8384
1463011,Radom,49.829
0614052,gm.w Końskowola,49.8222
1206132,gm.w Sułoszowa,49.8192
3206053,gm.m-w. Mieszkowice,49.8006
2213021,Skórcz,49.7641
2462011,Bytom,49.6995
2602072,gm.w Słupia,49.6727
0226011,Wojcieszów,49.6641
0221021,Jedlina-Zdrój,49.6555
0224013,gm.m-w. Bardo,49.6545
3028042,gm.w Mieścisko,49.6531
2814013,gm.m-w. Barczewo,49.6527
2204082,gm.w Trąbki Wielkie,49.6442
0208031,Kudowa-Zdrój,49.6418
0405043,gm.m-w. Kowalewo Pomorskie,49.6409
3008072,gm.w Trzcinica,49.6352
1218082,gm.w Tomice,49.6291
1428022,gm.w Brochów,49.6229
0219063,gm.m-w. Strzegom,49.6216
2412042,gm.w Lyski,49.6176
2402052,gm.w Jasienica,49.6171
0618011,Tomaszów Lubelski,49.614
0215022,gm.w Domaniów,49.6103
2473011,Rybnik,49.6011
0225011,Zawidów,49.5886
3020052,gm.w Gołuchów,49.5882
3202063,gm.m-w. Recz,49.578
0806052,gm.w Zwierzyn,49.5705
0401031,Nieszawa,49.5638
3010123,gm.m-w. Ślesin,49.5623
2402011,Szczyrk,49.5622
2607011,Ostrowiec Świętokrzyski,49.5609
1414043,gm.m-w. Nasielsk,49.5512
0222013,gm.m-w. Brzeg Dolny,49.5495
1218033,gm.m-w. Kalwaria Zebrzydowska,49.5205
1003023,gm.m-w. Łask,49.5205
3005053,gm.m-w. Wielichowo,49.5169
0224053,gm.m-w. Ząbkowice Śląskie,49.5165
0411072,gm.w Topólka,49.5146
3019022,gm.w Białośliwie,49.5113
3015012,gm.w Kuślin,49.497
3003023,gm.m-w. Czerniejewo,49.4721
0804082,gm.w Siedlisko,49.4654
0202021,Dzierżoniów,49.46
3004023,gm.m-w. Gostyń,49.4504
0811082,gm.w Trzebiel,49.4504
1019011,Zduńska Wola,49.4478
2402032,gm.w Buczkowice,49.421
2213031,Starogard Gdański,49.4098
2413021,Miasteczko Śląskie,49.4068
3023062,gm.w Słupca,49.4041
1019023,gm.m-w. Szadek,49.3893
1015012,gm.w Bolimów,49.379
0221072,gm.w Stare Bogaczowice,49.3787
2602082,gm.w Sobków,49.3746
1423072,gm.w Rusinów,49.362
2814093,gm.m-w. Olsztynek,49.3617
0617011,Świdnik,49.3538
1010072,gm.w Ręczno,49.3414
0401042,gm.w Aleksandrów Kujawski,49.3383
